Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..
Afghanistan,AFG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,16815188084.6708,17645416937.3793,18515111650.4997,..,..
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,458.344565843406,467.186947260786,475.084737273174,..,..
Afghanistan,AFG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.59444730379137,2.59444730379137,2.59444730379137,..,..
Afghanistan,AFG,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,1353065929.66919,1383710813.63143,1712217272.06508,..,..
Afghanistan,AFG,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,473248932.326288,495495475.513315,526797937.662838,..,..
Afghanistan,AFG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,..,..,..,..,..
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18418860354.4238,18904502222.2108,20143451705.7548,14583135236.5744,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.18922812838034,3.911603419423,-2.35110067344623,-20.6999999939715,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,502.057099211089,500.52298078433,516.866797351726,363.674087113049,..
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,18610269530.2095,19205027114.1875,20332393769.3244,14705487686.3023,..
Afghanistan,AFG,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..,..,..,..,..
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652230,652230,652230,..,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,37.266040802002,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.081,63.565,62.575,61.982,..
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..
Afghanistan,AFG,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,71.4,71.4,..,..,..
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,14.38,9.5,..
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,11.1,6.74,..
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.002,4.87,4.75,4.643,..
Afghanistan,AFG,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,15919.02455,15679.104,16222.03596,..,..
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.2769881790166,58.2769881790166,58.8074758904068,..,..
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,380100,380100,383560,..,..
Afghanistan,AFG,"Armed forces personnel, total",MS.MIL.TOTL.P1,272900,278000,..,..,..
Afghanistan,AFG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.83864906517014,2.78231432905891,..,..,..
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.981,6.791,7.113,7.344,..
Afghanistan,AFG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.2966,0.2125,0.2538,..,..
Afghanistan,AFG,Gross domestic savings (current US$),NY.GDS.TOTL.CD,..,..,..,..,..
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,41.58,49.81,..
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.299082634225993,0.297563650500103,0.223478872007068,..,..
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.8,17.6,18.4,..,..
Afghanistan,AFG,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,23000000,39000000,19000000,..,..
Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,1125367,1066747.35619248,449041.025,293212.994,..
